档号	姓名	人员性质	性别	岗位设置单位	身份证号
j561	毛訿頟	公办	男	蜚屍大学	330523196211060018
j1785	李氮跩	公办	男	緺缪大学	330523591006473
j2542	沈姽懻	公办	男	鬊嵍大学	330523197202162519
j2645	陈淎唗	公办	男	碦舟大学	330523581120135
j2693	陈涝稰	公办	男	瞓崄大学	330523195509150716
j3131	杨萂糩	公办	女	鷵釻大学	330523195810014721
j3475	郏灼欓	公办	男	褒槉大学	330523691201473
j4494	姜躗癝	公办	男	哻寝大学	330523195910190917
j4548	娄磖馀	公办	女	鸬曑大学	330523661221524
j5198	章瞂鞌	公办	男	蔴蚓大学	330523550210541
j5258	笪囝鏃	公办	男	猑寛大学	330523195503023433
j5575	童坮営	公办	男	椖烍大学	330523540816001
g8.83	许湪菖	合同工	女	踨穏大学	330523197510050025
j67	万庞秽	公办	女	轾鞼大学	330523196009036022
j249	王逢眞	人代	女	篷鱍大学	330523198806204729
j435	王僇灊	公办	女	醬蠤大学	330523197303226825
j453	王存矷	公办	女	攆兊大学	330523197601224721
j497	王曍瞭	公办	女	劊晿大学	330523197802084729
j1054	阮鯚仂	公办	女	謌偫大学	330523198002236821
j1115	吕韯馒	人代	女	喕擫大学	330523197902193949
j1196	任澕魾	人代	女	詐窩大学	330523198303260024
j1237	朱腥懁	人代	女	俗脗大学	330523198605095626
j1284	朱鐥筝	公办	女	镎蹫大学	330523195907120029
j1292	朱鄬磇	公办	女	犍纞大学	330523197508300523
j1302	朱彞呰	公办	女	枇乂大学	330523197711135420
j1417	刘沰匵	公办	女	褨梣大学	330523197704285826
j1481	许夬愸	公办	男	恌溽大学	330502197004210039
j1917	李涹黢	公办	女	歡洧大学	330523198010050023
j1925	李繃铛	公办	男	焃椗大学	330523197309056214
j1952	李皎蘌	公办	女	蠖焚大学	340603197207070308
j2236	汪錖祇	人代	男	忐酋大学	330523198605276814
j2370	宋皅藩	人代	女	乕蜜大学	330421198501020023
j2414	邵钖迿	公办	女	虑渙大学	330523197710235024
j2535	沈跼鳛	公办	男	螛酮大学	330523730104681
j2587	沈紭鴏	人代	女	蜧借大学	330523198511070022
j2603	陈磽頳	人代	女	梪鳶大学	330523810723662
j2632	陈碹炪	公办	女	礻濑大学	330523197309211122
j2648	陈汊笻	公办	男	獘爠大学	330523195601306031
j2671	陈棃疘	人代	女	蚿弳大学	330523198510313424
j2746	陈鹱豕	公办	女	垳裹大学	330523197711210822
j2937	何鯲襜	公办	女	兕椲大学	330523197909180323
j3138	杨錒睽	人代	女	瓦鬻大学	330523198708051327
j3256	林陳煹	公办	女	緅嘦大学	330523198007115420
j3262	林沦磦	公办	男	牽陋大学	330523195501050315
j3501	孟幟簅	公办	女	鱙艝大学	330501197804170825
j3563	周置儹	公办	女	瀔窛大学	330523197710156828
j3621	周傰鯲	公办	女	臚吡大学	330523197904095023
j3692	金閎狟	人代	女	錢昦大学	330523199010050028
j3703	金潂熗	公办	女	掠涼大学	330523771027082
j3807	张冽葺	公办	女	燋笰大学	330523197009170365
j3901	邱娹普	公办	男	睖鞀大学	330501197602130817
j3908	张瑉垤	公办	女	耀睮大学	330523197905213028
j4039	胡旆眎	公办	女	嵛畤大学	330523197206033423
j4087	胡嘭茪	公办	男	璂乒大学	330523197610285016
j4231	徐緄淕	公办	女	娩楜大学	330523197811050029
j4263	徐玐髺	公办	男	斿锲大学	330523195905246015
j4277	徐諕雺	人代	女	齺轌大学	33052319831030622X
j4299	俞騃鑊	人代	女	偍谟大学	330523198407182526
j4300	喻呋淿	人代	女	窓咥大学	330523198708121823
j4475	洪罡欂	公办	女	餽喑大学	330523197410174741
j4499	姜脗儣	公办	女	與懑大学	330523197205092325
j4592	姚軻繠	公办	男	州燧大学	330523197909086214
j4606	姚犱幁	公办	女	儩潮大学	330523197611104328
j4928	诸徢鳦	公办	女	吹漢大学	330523197612010841
j4977	黄筺祆	公办	女	贵莣大学	330523197204256420
j5038	黄鉺鵘	公办	男	莴朡大学	330523197908233219
j5039	黄堖胳	公办	女	涂亞大学	330523197903300320
j5496	付娯顗	公办	女	箜熰大学	330523197704150040
j5540	谢蚿鬞	人代	男	倓迶大学	330523198112120918
j5564	谢渾堡	公办	女	唘麖大学	330523198001032122
j5609	储捗赘	公办	男	捶燮大学	330523197409183413
j5751	裘裌辶	人代	女	錊鼑大学	330523830420112
j5877	潘挡縷	公办	女	痋吏大学	330523196812094520
j5887	潘魀澡	公办	女	欘蝔大学	330523197406090326
j5917	戴楱愑	公办	男	娺曇大学	330501198208250831
j5925	魏槴兗	公办	女	骡萃大学	33052319730716182X
g8.119	李鐴儲	固定工	男	儠镩大学	330523197109180034
g9.53	张濹僝	合同工	男	閮宯大学	330523196911200915
g9.62	郑皇儣	合同工	女	锩甤大学	33052319700309252X
j245	王奵沍	公办	女	蓪簉大学	330523197410311128
j247	王饕册	公办	女	屪椈大学	330523196409133948
j277	王籼癍	公办	男	鯉韴大学	33052319560521031X
j355	王懛慷	人代	女	滹力大学	330501198310273722
j473	王簟岕	公办	女	茬暊大学	330523770402212
j597	方蠓柩	公办	女	欉螒大学	330523198206030024
j611	方粞諻	公办	女	敂寵大学	330523197605236623
j709	邓葵餗	公办	男	鱺竗大学	330523197702085812
j1049	阮庣侽	公办	女	燞硻大学	33052319760129624X
j1126	吕龊鄹	公办	女	底栒大学	33052319801103392X
j1127	吕颭擳	公办	男	鬽砐大学	330523197801036610
j1240	朱橶颩	公办	男	祳郤大学	33052319591205621X
j1259	朱鱍鰺	公办	男	鱩谋大学	330523197911105613
j1282	朱幝豕	公办	男	揃咱大学	330523195611010015
j1300	朱媁氷	公办	女	澏削大学	330602198012291043
j1413	刘缬澛	公办	女	茺舋大学	330523197401240321
j1679	严璲摰	公办	男	檓髻大学	330523197506186819
j1805	李赅筡	人代	女	溁嫖大学	330523811208232
j1864	李茂郾	公办	男	薌掳大学	330523750807031
j1942	李艴槚	公办	女	毩斚大学	330523197404254526
j2005	束楚梛	人代	女	攋闉大学	342522196509165426
j2009	来夹圮	人代	女	醣毚大学	642102197607132423
j2033	吴煀蘬	人代	男	嚺娳大学	33052119860812301X
j2064	吴櫦招	公办	女	褑鬴大学	330523197802200048
j2204	应悌鲜	公办	男	唽囲大学	330501197802050061
j2391	昌倖喚	公办	女	黐嬻大学	330523197607245021
j2526	沈煋鲝	公办	男	殦擦大学	330523661018341
j2595	陈槁乂	人代	女	敌銄大学	330523821025664
j2682	陈迿佀	公办	男	徽骉大学	330523197602100018
j2706	陈苰懴	公办	女	轲袽大学	330522196410202326
j2806	陈擒闶	公办	男	黝刋大学	330523197104101616
j3150	杨粢咔	公办	女	毱蚬大学	330523197901311827
j3198	杨幟酲	公办	男	棤盖大学	330523197507312813
j3254	林帳弓	公办	女	诽藋大学	330523197712175424
j3593	周揊崜	公办	男	誄纽大学	330523195604030317
j3606	周镾炤	公办	女	瑰龍大学	33052319740809112X
j3714	金硏駦	公办	男	翼嬏大学	330523550202001
j3733	金薟桰	公办	女	玳傠大学	330523197806220847
j3758	张搷嶷	公办	男	襶钲大学	330523195801206211
j3914	张節瀆	公办	女	泽驔大学	330523197703055420
j3929	张亣丷	人代	女	嗆櫭大学	33052319800902432X
j4093	胡强饼	公办	女	鰰噗大学	330523197603286221
j4224	徐帝漃	人代	男	腳束大学	330523198405015011
j4412	施玁爖	公办	女	屼糖大学	330523197109161167
j4476	洪杘鳧	公办	男	醕揳大学	330106750410401
j4649	陶减译	公办	女	箚曔大学	330125600910592
j4675	夏捰篯	公办	女	綯萐大学	330523197606024729
j4983	黄燃缻	公办	女	劏漷大学	330523660117562
j4988	黄腞寷	公办	女	垇徉大学	330523197211135221
j5013	黄喃簊	公办	女	呻簍大学	330523710429412
j5014	黄眩摼	公办	女	螏邔大学	330523195810150029
j5243	熊礣齝	公办	男	獘郲大学	330523197411231613
j5320	董鲜祇	人代	女	橴毢大学	330523198010263221
j5402	蒋絶襩	人代	女	墽鑲大学	330523197712130920
j5426	程嫥櫄	公办	女	胼饣大学	330523197701240024
j5455	程沕虜	公办	男	崈瞂大学	330523196009011810
j5465	程弾襡	公办	女	眶耥大学	330523197203240048
j5478	程啗蚲	公办	女	幐渌大学	330523197901150349
j5498	傅其鯮	公办	女	髎误大学	330523197505111129
j5566	谢蚳棍	人代	男	寬媏大学	330523197911010016
j5593	曾帗擧	公办	女	黰桝大学	330523761223004
j5608	储衸嗄	公办	男	嵥潡大学	330523196906235419
j5644	楼棺諉	公办	女	朦澕大学	330523197710284328
g8.58	阮咈疼	合同工	女	澪磨大学	330523671019472
j28	丁栟簖	人代	女	晠饌大学	330523198612222320
j356	王觹圳	人代	女	胎飇大学	330523198810080028
j367	王鞅鯂	公办	男	罕飅大学	330523195908230510
j427	王圞沯	公办	男	低鹩大学	330523195801300515
j463	王軼鸾	公办	女	鴕觳大学	33052319690228642X
j505	王騙参	人代	女	魠铦大学	330523198210012128
j542	韦珫嬿	公办	女	則翔大学	330523197209261640
j640	方蹰馤	公办	女	哽剌大学	330501197511300825
j954	冯唐爔	公办	女	鋭轮大学	330501781101090
j1245	朱腝騖	人代	女	釢缃大学	330523198210210028
j1257	朱坃壧	公办	男	臕欰大学	330523660129251
j1294	朱岧跬	公办	女	揞墜大学	330523197810230044
j1316	朱葍關	人代	男	恇榆大学	330523198210040014
j1391	刘塵霫	公办	男	鲦擿大学	330523197201206815
j1410	刘蝞鬜	人代	女	嵁猖大学	330523198403210024
j1530	江蔇鵆	公办	男	栉撳大学	330502196902190055
j1548	孙郇斄	人代	女	軥貁大学	33052319810524682X
j1568	孙鋳腜	公办	女	颕镨大学	330523197809206821
j1577	孙盒矂	公办	女	鮽礀大学	330501197909110829
j1596	孙璟牫	人代	女	纭竧大学	330523198601046624
j1681	严成拘	公办	女	璿坾大学	330523198004201120
j1789	李娇谆	公办	男	稕闂大学	330523198302100010
j1820	李鎧琞	人代	女	傩膆大学	330523198510160026
j1905	李窬鐐	公办	男	兽愻大学	330523197108100055
j1912	李閂瘤	公办	女	情抷大学	330523800417282
j2091	吴讋搂	人代	女	遂烶大学	33052319841102212X
j2247	汪鯩爚	公办	男	嗨蝯大学	330523198107110811
j2259	汪襅弙	公办	女	觷秥大学	330523197808160841
j2273	汪認顱	公办	女	艎憢大学	330523197909300946
j2301	卓曲賱	公办	男	撿洕大学	330523810922131
j2351	密獞屼	人代	男	矍调大学	330523198210161115
j2369	宋鳽竁	人代	女	盺闁大学	330523198610120021
j2409	邵絹郸	人代	女	憲哭大学	330523198707262528
j2463	陆凴姒	人代	男	救鲪大学	330523821008091
j2748	陈謳瞿	公办	男	櫂紡大学	330523197705064312
j2783	陈鱷誧	公办	女	筑爔大学	33052319750928182X
j2930	何臍繃	公办	女	踊軑大学	330523196212250526
j3092	邱琄曈	公办	女	眓蹑大学	330523197511076622
j3093	邱趼鰋	公办	女	九盟大学	330523197002086427
j3372	范吤蓮	公办	女	嬮鈄大学	330523197804090022
j3573	周肯晑	公办	女	耀锇大学	330523197708291326
j3634	周漵愱	公办	女	謌谪大学	330523197911251821
j3685	金矉橹	人代	男	併愃大学	330523198202230918
j3754	张各眗	公办	女	幉繵大学	330523196502060720
j3762	张書賋	公办	女	檎灐大学	330523196210174523
j3852	张蕕跜	公办	男	窾虿大学	330523197906306234
j3865	张紑馞	人代	女	淸糃大学	330523198508173426
j3877	张鞟軑	公办	男	儚歡大学	330502196911210011
j3894	张揝汓	公办	女	鰀揽大学	330523197511234520
j3943	张诧镴	人代	女	谶纡大学	330523198303160023
j3962	尚獳鍂	公办	女	茟侈大学	330523630428032
j3985	郑霢幺	公办	女	啍鯿大学	330523196606040927
j4012	郑淏趿	公办	男	蜜达大学	330523197806123414
j4015	郑捹褜	公办	女	汲虮大学	330523197002216025
j4161	赵襄夒	公办	女	字塮大学	330523197912253247
j4178	段耾钨	公办	女	掷淲大学	330523197804273929
j4214	徐噇砮	公办	女	叩肴大学	330523197809236625
j4215	徐皺终	公办	男	獪曅大学	330523195912186612
j4294	俞峵罨	公办	女	慂薹大学	330501810208084
j4332	喻进埂	公办	女	栝疅大学	330523196611160544
j4387	施澹灓	公办	男	洰藴大学	330523195412172812
j4434	柏鍉涙	公办	女	灠埖大学	330523197804211824
j4502	姜鰌译	公办	女	恜龔大学	330501197907130826
j4725	袁楱勘	人代	女	澉呸大学	330523198602015248
j4849	高棾吗	人代	女	浜茙大学	330523198711181325
j4858	唐毝畟	人代	女	浉喖大学	330523198802150065
j4915	梁隟蜰	人代	女	侇観大学	330523198208152826
j5133	游滗課	人代	女	濢軘大学	330523198212236440
j5144	崔燹溆	公办	女	懽蛮大学	330523197304305461
j5157	管蛖襍	公办	男	墰欜大学	330523197812051314
j5208	章応鮷	人代	女	釪憪大学	330523830618502
j5570	童貤儧	人代	男	镴廲大学	330523198211035612
j5587	曾沊鱼	人代	男	裉蝕大学	33052319811006211X
j5649	詹襢爚	人代	女	栃贴大学	330523199102044522
j5651	詹擡台	公办	女	瞲噷大学	330501197810040840
j5723	蔡襞擱	公办	女	覎軗大学	330523197612056225
j5726	蔡芕璪	公办	女	幱驈大学	330501800309084
j5854	潘罯蠡	人代	女	撗覴大学	330523198807124720
j5870	潘辪晖	公办	女	晌霤大学	330502700108002
j5886	潘珏巁	公办	女	岥衿大学	330523196907056623
j5897	潘傠苼	人代	女	輘糼大学	330523198609174129
j5985	聂場骟	人代	女	粳鯴大学	330523820109006
g8.97	伊抑倏	固定工	男	剁縝大学	330523195412060511
g9.150	蒋鈞槲	固定工	男	嫃蜏大学	330523195908280518
j130	马珗劌	公办	男	咘窱大学	330523197211090019
j397	王焵螾	人代	女	均齢大学	330523198105104725
j441	王舗趔	公办	男	闢嬗大学	330523741211471
j460	王姜菍	公办	男	涊嘢大学	330523197602255212
j488	王張湴	公办	男	镁拍大学	330523196912126411
j896	叶刔堑	公办	女	鶪晭大学	330523197511100928
j1405	刘鵏憞	公办	男	萋肧大学	330523197103061317
j1811	李挱訤	公办	男	旖芞大学	330523196209141310
j2083	吴鳁写	公办	女	仰姲大学	33052319750805502X
j2271	汪貥辻	公办	女	欦楔大学	330523197502155628
j2324	汤窖茧	公办	男	竚慠大学	330523197605260017
j2563	沈儶券	公办	女	靟戝大学	330501198106120825
j2625	陈勓倽	公办	男	涧杕大学	330523197602210030
j2658	陈倧畉	公办	男	嫞頁大学	330523610423001
j2699	陈簉辠	公办	女	渰熑大学	330523196111250025
j2761	陈乞訕	公办	男	桔韹大学	330523611225001
j2786	陈唙职	公办	男	譯評大学	330523197209192534
j2804	陈殔纳	公办	女	纨禵大学	330523197610200721
j2815	陈侤嚙	人代	男	闵槤大学	330523197911185617
j3181	杨佔抾	公办	女	隕陜大学	330522197310284728
j3274	林匟骸	公办	男	縙辂大学	330523196101156617
j3277	林薧濏	公办	男	舲葁大学	330523197410162310
j3581	周醪踥	公办	男	垻鶨大学	330523195702272512
j3583	周鯒脅	公办	男	瞩檘大学	330523691006051
j3792	张覢盰	公办	女	垺矬大学	330523197607185022
j3813	张稯鏪	公办	男	浠灖大学	330523195810080710
j3848	张鸤璶	人代	女	罕馹大学	330523198109200028
j3882	张毦魍	公办	男	鈻凍大学	330523700315071
j4104	胡瑋衰	公办	女	扽滐大学	330523790907474
j4193	相标徲	公办	男	傄荆大学	33052319670419257X
j4238	徐甯拐	公办	男	惑弹大学	33052319640127253X
j4266	徐滝概	公办	男	拕瞵大学	33052319710807431X
j4356	顾麀韛	公办	女	阞翾大学	330523196501156261
j4656	陶臄鬊	公办	女	粷蜼大学	330523197502190028
j4711	袁嗡硎	公办	男	璜炕大学	330523195603260014
j4788	翁觕暮	公办	男	娰眯大学	330523197208026235
j4824	高繹鋜	人代	女	洿婳大学	330523198307243627
j4871	唐抓殲	公办	男	晹棝大学	33052319651006131X
j4926	诸妤嫔	公办	女	烒幁大学	330523196303250046
j4984	黄蚥羖	公办	女	嵞佡大学	330523197510126448
j5012	黄翣恑	公办	男	僒鸢大学	330523197103185416
j5110	龚升呈	人代	女	抢愍大学	330523198210270020
j5200	章佤瑘	人代	女	谜釒大学	330523811007662
j5211	章瓆嬙	公办	女	苀涤大学	330523197003272344
j5216	章漩賒	公办	男	磻箭大学	330523197612066618
j5281	郦斆琥	公办	女	诒魨大学	330523671226302
j5315	董獈揭	公办	女	愪囲大学	330523197605224120
j5385	蒋懁歅	公办	男	陷嬢大学	330523196304204519
j5501	付蓅賮	人代	女	趓茖大学	330523198304232527
j5812	康瑶鈈	公办	男	邾驿大学	330523197802284317
j5819	薛炖唁	公办	男	媓禐大学	330523195505200034
j5846	潘勹屵	人代	女	嘮镨大学	330106197706103020
j374	王奭遴	公办	女	旔旰大学	652402196709030325
j886	叶庢怣	公办	男	強檀大学	330523196303070010
j892	叶刖其	公办	男	橤盗大学	330501197603050819
j904	叶勒瀡	人代	女	锟閛大学	330523810407682
j970	卢洐艐	公办	男	閺酉大学	33052319791127621X
j972	卢詴鐂	公办	女	饿亨大学	33050119721231002X
j1349	刘拆詑	人代	女	凹盒大学	330523198210014748
j1511	江龘薿	人代	女	辢閃大学	330523198011292120
j1715	杜垍遟	公办	男	襑苘大学	330523195506016618
j2151	苏讧塕	公办	女	丝鐉大学	330521197503010022
j2234	汪廐蒜	人代	男	趋顀大学	330523198509253014
j2617	陈噫浺	公办	女	覾瓐大学	330523198003256621
j2936	何烁积	人代	女	諈贳大学	330523198703300021
j3099	邱侖火	公办	女	幻僣大学	330523197909010025
j3287	林泣鬟	人代	男	早堺大学	330523650414501
j3452	郎圔毺	公办	女	譧鸱大学	33052319800127544X
j3644	周暞狯	公办	男	疀糝大学	330419197912133237
j3718	金岞郙	公办	男	驭殁大学	330523196811111835
j3732	金昸枛	公办	男	露貼大学	330523196901266638
j4070	胡鏎冐	公办	男	鑡鑎大学	330523195804206612
j4085	胡躠徣	人代	女	囨鞘大学	330523198204291829
j4326	俞屋賗	公办	男	顊蹉大学	330523196910206610
j4333	俞鶴蠢	人代	女	憻銜大学	330523197212080744
j4385	施鷘蘖	人代	男	滱甔大学	330522198704013319
j4597	姚迶蠎	公办	女	娅蝵大学	330523197901280047
j5033	黄繾醆	公办	女	咚灜大学	330523196802276646
j5086	盛葏卼	人代	女	蔁僰大学	330501199010182284
j5129	梅鴘崝	公办	女	目鲛大学	330523197805036626
j5783	廖帞糲	公办	女	澔詽大学	330523197612096622
j5858	潘惙尳	公办	男	鹼傍大学	330523197205246435
j5968	蓝蒥娯	人代	男	焸同大学	330523198412160057
j529	艾鵎鋐	公办	男	琩軬大学	330523197002023215
j737	巴觭富	公办	女	詍軅大学	330523197708293620
j3083	邱击罬	公办	男	坲旚大学	330523196206053016
j4516	柴霧禀	公办	男	乙揇大学	330523196110121811
j4674	夏屍俾	公办	男	鈵艟大学	330523195502113613
j5613	储袗恳	公办	男	澜疻大学	330523197608023412
g8.115	李铞蠿	固定工	男	嗟貰大学	330523196207123610
j33	丁盛椷	人代	女	唝詤大学	330523198808176426
j321	王佳骇	人代	男	誨葁大学	330523198803270034
j339	王圁菽	人代	女	涰躤大学	33052319710105472X
j563	毛孟戛	人代	女	诩拽大学	330523198508096221
j1230	朱衺稈	人代	女	堸挨大学	330523197011032121
j1437	刘渤饛	人代	女	鞃余大学	330523198209053627
j1519	江楂約	人代	女	羙推大学	33052319840421342X
j1967	李悑辡	人代	男	羡厯大学	330523198109284735
j1968	李鲹輬	人代	女	佪莠大学	330523811031184
j2079	吴皶拻	人代	女	搉粲大学	330523198709153624
j2082	吴鐦羮	公办	男	讹夈大学	330501197812240811
j2086	吴泙祽	公办	男	寳薎大学	330523195612263612
j2129	吴钹颅	人代	女	纞臟大学	330523198610223928
j2248	汪铹楣	人代	男	鄬輠大学	330523198602233413
j2251	汪計勔	公办	男	孱执大学	330523198104170034
j2366	宋鍸离	公办	女	牲涹大学	330523196703134124
j2530	沈傶殼	公办	女	盿从大学	330523198105213622
j2661	陈匎販	人代	女	茋芤大学	330523831203002
j2672	陈嗔牮	人代	女	謝鈽大学	330523199108200020
j2734	陈醑貰	公办	男	爴齗大学	330523560404361
j2895	余乞抔	人代	女	漓莎大学	330523199009303665
j3160	杨繚颋	人代	男	薨襄大学	330523198111243617
j3166	杨蒜佮	人代	女	槊瑳大学	330523820806362
j3326	罗詽嘠	人代	女	喟舷大学	330523198609105625
j3794	张逿谆	公办	女	剝趵大学	330523700102324
j3801	张鮮皿	人代	女	覭朋大学	330523198607093624
j3954	张偧測	人代	女	谽饉大学	330523198308253229
j4058	胡鱾矍	公办	男	酤亀大学	330523550124363
j4074	胡刍釻	公办	男	寑軻大学	330523195311283636
j4084	胡蓶挢	人代	女	鱱錁大学	330523198707226228
j4115	胡靹飒	人代	男	蘭煴大学	330523198301153014
j4164	赵樭慹	人代	女	吅花大学	342523197008225823
j4177	段寬丁	公办	男	叞潝大学	330523630809361
j4198	徐乜襷	人代	女	鸼弆大学	330523198710133049
j4435	柏樴卶	人代	女	虅郝大学	330523198706292821
j4542	胥呿囿	公办	男	侼僸大学	330523195605283615
j4655	陶骿擭	公办	男	纉葊大学	330523196007213611
j4693	夏嘽驰	人代	女	爻袻大学	330523198211132826
j4722	袁尴乜	公办	男	軶鐜大学	330523198111203615
j5182	章叫皮	人代	女	砥寺大学	330523198811021329
j5247	熊馶晥	公办	男	銢峮大学	330523195504103611
j5270	秦纄赌	公办	男	僬勒大学	33052319540814363X
j5319	董约洗	人代	女	鉇諆大学	330523198410283627
j5417	葛蚍麸	人代	男	岄獆大学	330523198207081317
j5737	黎禾碪	人代	女	犋檔大学	330523198002062825
j5780	廖瑔柙	公办	男	莁揊大学	330523195906253612
j5871	潘趏嘮	公办	男	多龉大学	330523195710263616
j5878	潘殐堒	人代	女	侢蒎大学	330523198702064127
j5404B	蒋媎邐	人代	女	賤螖大学	330522198504151047
g8.106	李犘餖	固定工	男	剠帮大学	330523197709290034
g9.85	徐漕鲆	合同工	男	狽敻大学	330523196907312316
g9.114	袁悢渉	固定工	男	聶弸大学	330523197511232330
g9.208	蔡廸孞	固定工	男	伄嫃大学	330523195712153613
j30	丁匒婅	人代	女	虤郴大学	330523198408021820
j31	丁疖鯬	人代	男	鼾覚大学	330523198701260038
j142	马賠俋	公办	女	砶忯大学	330523197712106429
j202	兰盧鸮	人代	男	籄挞大学	421122198403202934
j310	王壟匰	固定工	男	隳飍大学	330523197509033017
j352	王猨搿	人代	女	歷肩大学	330523198602055426
j383	王瘃馌	公办	女	綁鈻大学	330523198910225626
j399	王鞃塳	人代	男	科贳大学	330523197511013912
j440	王犼烍	公办	男	珶觺大学	330523197510043431
j600	方礱玽	公办	女	鉈籮大学	33052319800910344X
j657	方爄去	人代	女	酾蠇大学	330523811225092
j865	叶蔋詠	公办	男	露侶大学	330523570427361
j1356	刘駲顏	人代	男	冂稏大学	430524198601094853
j1424	刘麾念	公办	女	桯賴大学	330523810320282
j1488	许捞孝	公办	男	蔽懦大学	330523197509013016
j1517	江峇瘆	公办	女	蔳蟺大学	330523690515282
j1754	李貸唖	人代	女	疫庋大学	330523197911163020
j1885	李厹驏	公办	女	龉媮大学	33052319731226302X
j1907	李撗櫦	公办	女	屯鯴大学	330523197911253624
j1936	李漵塍	公办	女	靚敿大学	330523197612142342
j1941	李晉厸	公办	男	謰藂大学	330523197407033016
j1965	李摖怷	公办	男	打僲大学	330523198002203616
j2044	吴洱阡	公办	男	鴎腀大学	330523620307361
j2123	吴髲髴	人代	男	悞蛑大学	330523198210232817
j2126	吴葡桏	人代	男	讛輠大学	330523198308113613
j2280	汪訂蹾	人代	女	瘉兴大学	330523198008223044
j2399	谷郺輪	人代	女	疽閼大学	330523198309043944
j2556	沈瞑糷	公办	男	槍薸大学	330523195403033212
j2581	沈飃於	公办	女	鷎镳大学	330523198006280029
j2586	沈鮳谋	人代	女	耍嗋大学	330523197602014726
j2626	陈狦簭	公办	男	媨溄大学	330523197712183635
j2664	陈脽禌	人代	男	鞒嗛大学	330523198408104714
j2685	陈里髱	人代	女	歈國大学	330523198408315423
j2945	何瞠癛	人代	女	笥讎大学	330523197809253425
j3013	邹鉭媑	公办	男	鈢塦大学	330523198002201813
j3155	杨焿慑	公办	男	梯疷大学	330523195710193216
j3163	杨賄儸	人代	女	檚颵大学	330523198703110025
j3175	杨罌厁	公办	女	傁縑大学	330523197304151829
j3208	杨勀畋	公办	男	碜名大学	33052319791021181X
j3288	林鮒鐱	人代	女	墋嵜大学	3305231981１0153425
j3446	郎兑醑	人代	男	钩帼大学	330523820410071
j3499	孟聂蹁	公办	男	否籡大学	330523581206001
j3556	周豶膰	公办	男	戨虥大学	330523197605213018
j3601	周鹚糱	人代	男	緮鱨大学	362201197808122856
j3643	周恵鮯	人代	女	玭擱大学	330523821018252
j3687	金坳争	公办	男	伖補大学	330523196606280912
j3760	张傺胕	公办	女	曼糮大学	330523198110130047
j3809	张筃妀	公办	女	勸竮大学	330523195810173028
j3830	张烠葫	人代	男	當燂大学	330523198109073612
j3870	张闱泖	公办	男	譣帄大学	330502691112003
j4035	胡媵湗	公办	女	鵋礵大学	330523197802143223
j4113	胡錢刘	人代	男	弽佸大学	330523198401062515
j4200	徐凪鴆	公办	女	伊粘大学	330523197902055028
j4329	喻渼決	公办	男	媁竷大学	330523650417321
j4473	洪怯鮓	公办	男	藇鞞大学	330523550923281
j4535	费怟雩	人代	女	誸豘大学	330523197910196242
j4543	胥嫇鋮	公办	男	袈敯大学	330523196211123613
j4568	涂蒣骐	公办	女	唑帝大学	330523197804131322
j4724	袁繞鱳	人代	女	适燝大学	330523198203292520
j4864	唐翨脊	公办	男	煏螿大学	330523195705093616
j4889	谈潬睧	公办	男	埧騊大学	330523195407143013
j5080	盛洟珿	公办	男	錓姅大学	330523197009043032
j5156	管踅裊	公办	女	蛻嬷大学	33052319900630622X
j5205	章阗勭	公办	女	舥躳大学	330523651001342
j5268	祝詳吴	人代	女	肋嫜大学	330523198309263920
j5271	秦鞟蕪	人代	男	襆頸大学	330523811115361
j5334	韩誑梚	公办	男	泋崦大学	330523196911275431
j5358	彭螇贅	公办	女	犛佞大学	330523199003182823
j5380	蒋鲊耎	公办	女	橑枴大学	330523197512022829
j5536	谢龜赜	人代	男	酥蒰大学	330523198510123612
j5580	童淛鷪	公办	男	苽蒟大学	330523197610255810
j5831	潘汰铧	人代	女	舋霔大学	330523198310263928
j5876	潘阖仸	公办	男	鳗鲁大学	330523197511233616
j5892	泮聵嗍	人代	男	仺僟大学	330523197801075214
j5918	戴焱阔	人代	男	柑鞯大学	330523198201253915
j5922	魏袮邸	公办	男	鏈赾大学	330523197903291815
j5329B	韩鋿齵	人代	女	銱栥大学	330523198511225426
g9.76	赵騇慐	固定工	男	顟髌大学	330523195610015615
j125	马冤娵	公办	女	篃蚽大学	330523196612064722
j304	王渍循	人代	男	辡唝大学	33052319830201581X
j354	王孈五	公办	男	銡籸大学	330523197711123913
j481	王皒搖	公办	女	橴窢大学	330523197606023929
j506	王玦衋	人代	男	晏叐大学	330523198212235018
j1574	孙鱭龑	公办	女	眠穥大学	330523198005185425
j1674	严瑿夂	人代	女	瑞涖大学	330523198805300049
j2058	吴槹栮	人代	女	扺瀓大学	330523197104036447
j2112	吴葕連	公办	男	頣獕大学	33052319790710321X
j2119	吴繡箷	人代	女	戺琳大学	330523198101273222
j2544	沈牁鬿	公办	男	讹今大学	330523197801045613
j2954	何象岍	人代	女	鸱鉾大学	330523198409092524
j3264	林文咚	公办	女	半裨大学	330523198011143221
j3576	周詥完	人代	女	騛磥大学	330523198411064127
j3614	周肘醷	公办	男	謾揝大学	330523197708075615
j3748	张肧哇	人代	女	蜲攋大学	330523198509170024
j3989	郑铩羫	人代	女	頙藶大学	330523198602115441
j4245	徐菟虀	人代	女	茆頗大学	330523198112225226
